26AA	22-24 in	22-26 in	56-61 cm	56-66 cm
46B	42-44 in	47-48 in	107-112 cm	119-122 cm
48B	44-46 in	49-50 in	112-117 cm	124-127 cm
50B	46-48 in	51-52 in	117-122 cm	130-132 cm
52B	48-50 in	53-54 in	122-127 cm	135-137 cm
54B	50-52 in	55-56 in	127-132 cm	140-142 cm
56B	52-54 in	57-58 in	132-137 cm	145-147 cm
58B	54-56 in	59-60 in	137-142 cm	150-152 cm
60B	56-58 in	61-62 in	142-147 cm	155-157 cm
62B	58-60 in	63-64 in	147-152 cm	160-163 cm
64B	60-62 in	65-66 in	152-157 cm	165-168 cm
26C	22-24 in	28-29 in	56-61 cm	71-74 cm
28C	24-26 in	30-31 in	61-66 cm	76-79 cm
30C	26-28 in	32-33 in	66-71 cm	81-84 cm
32C	28-30 in	34-35 in	71-76 cm	86-89 cm
34C	30-32 in	36-37 in	76-81 cm	91-94 cm
36C	32-34 in	38-39 in	81-86 cm	97-99 cm
38C	34-36 in	40-41 in	86-91 cm	102-104 cm
40C	36-38 in	42-43 in	91-97 cm	107-109 cm
42C	38-40 in	44-45 in	97-102 cm	112-114 cm
44C	40-42 in	46-47 in	102-107 cm	117-119 cm
46C	42-44 in	48-49 in	107-112 cm	122-124 cm
48C	44-46 in	50-51 in	112-117 cm	127-130 cm
50C	46-48 in	52-53 in	117-122 cm	132-135 cm
52C	48-50 in	54-55 in	122-127 cm	137-140 cm
54C	50-52 in	56-57 in	127-132 cm	142-145 cm
56C	52-54 in	58-59 in	132-137 cm	147-150 cm
58C	54-56 in	60-61 in	137-142 cm	152-155 cm
60C	56-58 in	62-63 in	142-147 cm	157-160 cm
62C	58-60 in	64-65 in	147-152 cm	163-165 cm
64C	60-62 in	66-67 in	152-157 cm	168-170 cm
26D	22-24 in	29-30 in	56-61 cm	74-76 cm
28D	24-26 in	31-32 in	61-66 cm	79-81 cm
30D	26-28 in	33-34 in	66-71 cm	84-86 cm
32D	28-30 in	35-36 in	71-76 cm	89-91 cm
34D	30-32 in	37-38 in	76-81 cm	94-97 cm
36D	32-34 in	39-40 in	81-86 cm	99-102 cm
38D	34-36 in	41-42 in	86-91 cm	104-107 cm
40D	36-38 in	43-44 in	91-97 cm	109-112 cm
42D	38-40 in	45-46 in	97-102 cm	114-117 cm
44D	40-42 in	47-48 in	102-107 cm	119-122 cm
46D	42-44 in	49-50 in	107-112 cm	124-127 cm
48D	44-46 in	51-52 in	112-117 cm	130-132 cm
50D	46-48 in	53-54 in	117-122 cm	135-137 cm
52D	48-50 in	55-56 in	122-127 cm	140-142 cm
54D	50-52 in	57-58 in	127-132 cm	145-147 cm
56D	52-54 in	59-60 in	132-137 cm	150-152 cm
58D	54-56 in	61-62 in	137-142 cm	155-157 cm
60D	56-58 in	63-64 in	142-147 cm	160-163 cm
62D	58-60 in	65-66 in	147-152 cm	165-168 cm
64D	60-62 in	67-68 in	152-157 cm	170-173 cm
26DD/26E	22-24 in	30-31 in	56-61 cm	76-79 cm
28DD/28E	24-26 in	32-33 in	61-66 cm	81-84 cm
30DD/30E	26-28 in	34-35 in	66-71 cm	86-89 cm
32DD/32E	28-30 in	36-37 in	71-76 cm	91-94 cm
34DD/34E	30-32 in	38-39 in	76-81 cm	97-99 cm
36DD/36E	32-34 in	40-41 in	81-86 cm	102-104 cm
38DD/38E	34-36 in	42-43 in	86-91 cm	107-109 cm
40DD/40E	36-38 in	44-45 in	91-97 cm	112-114 cm
42DD/42E	38-40 in	46-47 in	97-102 cm	117-119 cm
44DD/44E	40-42 in	48-49 in	102-107 cm	122-124 cm
46DD/46E	42-44 in	50-51 in	107-112 cm	127-130 cm
48DD/48E	44-46 in	52-53 in	112-117 cm	132-135 cm
50DD/50E	46-48 in	54-55 in	117-122 cm	137-140 cm
52DD/52E	48-50 in	56-57 in	122-127 cm	142-145 cm
54DD/54E	50-52 in	58-59 in	127-132 cm	147-150 cm
56DD/56E	52-54 in	60-61 in	132-137 cm	152-155 cm
58DD/58E	54-56 in	62-63 in	137-142 cm	157-160 cm
60DD/60E	56-58 in	64-65 in	142-147 cm	163-165 cm
62DD/62E	58-60 in	66-67 in	147-152 cm	168-170 cm
64DD/64E	60-62 in	68-69 in	152-157 cm	173-175 cm
26DDD/26F	22-24 in	31-32 in	56-61 cm	79-81 cm
28DDD/28F	24-26 in	33-34 in	61-66 cm	84-86 cm
30DDD/30F	26-28 in	35-36 in	66-71 cm	89-91 cm
32DDD/32F	28-30 in	37-38 in	71-76 cm	94-97 cm
34DDD/34F	30-32 in	39-40 in	76-81 cm	99-102 cm
36DDD/36F	32-34 in	41-42 in	81-86 cm	104-107 cm
38DDD/38F	34-36 in	43-44 in	86-91 cm	109-112 cm
40DDD/40F	36-38 in	45-46 in	91-97 cm	114-117 cm
42DDD/42F	38-40 in	47-48 in	97-102 cm	119-122 cm
44DDD/44F	40-42 in	49-50 in	102-107 cm	124-127 cm
46DDD/46F	42-44 in	51-52 in	107-112 cm	130-132 cm
48DDD/48F	44-46 in	53-54 in	112-117 cm	135-137 cm
50DDD/50F	46-48 in	55-56 in	117-122 cm	140-142 cm
52DDD/52F	48-50 in	57-58 in	122-127 cm	145-147 cm
54DDD/54F	50-52 in	59-60 in	127-132 cm	150-152 cm
56DDD/56F	52-54 in	61-62 in	132-137 cm	155-157 cm
58DDD/58F	54-56 in	63-64 in	137-142 cm	160-163 cm
60DDD/60F	56-58 in	65-66 in	142-147 cm	165-168 cm
62DDD/62F	58-60 in	67-68 in	147-152 cm	170-173 cm
64DDD/64F	60-62 in	69-70 in	152-157 cm	175-178 cm
26DDDD/26G	22-24 in	32-33 in	56-61 cm	81-84 cm
28DDDD/28G	24-26 in	34-35 in	61-66 cm	86-89 cm
30DDDD/30G	26-28 in	36-37 in	66-71 cm	91-94 cm
32DDDD/32G	28-30 in	38-39 in	71-76 cm	97-99 cm
34DDDD/34G	30-32 in	40-41 in	76-81 cm	102-104 cm
36DDDD/36G	32-34 in	42-43 in	81-86 cm	107-109 cm
38DDDD/38G	34-36 in	44-45 in	86-91 cm	112-114 cm
40DDDD/40G	36-38 in	46-47 in	91-97 cm	117-119 cm
42DDDD/42G	38-40 in	48-49 in	97-102 cm	122-124 cm
44DDDD/44G	40-42 in	50-51 in	102-107 cm	127-130 cm
46DDDD/46G	42-44 in	52-53 in	107-112 cm	132-135 cm
48DDDD/48G	44-46 in	54-55 in	112-117 cm	137-140 cm
50DDDD/50G	46-48 in	56-57 in	117-122 cm	142-145 cm
52DDDD/52G	48-50 in	58-59 in	122-127 cm	147-150 cm
54DDDD/54G	50-52 in	60-61 in	127-132 cm	152-155 cm
56DDDD/56G	52-54 in	62-63 in	132-137 cm	157-160 cm
58DDDD/58G	54-56 in	64-65 in	137-142 cm	163-165 cm
60DDDD/60G	56-58 in	66-67 in	142-147 cm	168-170 cm
62DDDD/62G	58-60 in	68-69 in	147-152 cm	173-175 cm
64DDDD/64G	60-62 in	70-71 in	152-157 cm	178-180 cm
26H	22-24 in	33-34 in	56-61 cm	84-86 cm
28H	24-26 in	35-36 in	61-66 cm	89-91 cm
30H	26-28 in	37-38 in	66-71 cm	94-97 cm
32H	28-30 in	39-40 in	71-76 cm	99-102 cm
34H	30-32 in	41-42 in	76-81 cm	104-107 cm
36H	32-34 in	43-44 in	81-86 cm	109-112 cm
38H	34-36 in	45-46 in	86-91 cm	114-117 cm
40H	36-38 in	47-48 in	91-97 cm	119-122 cm
42H	38-40 in	49-50 in	97-102 cm	124-127 cm
44H	40-42 in	51-52 in	102-107 cm	130-132 cm
46H	42-44 in	53-54 in	107-112 cm	135-137 cm
48H	44-46 in	55-56 in	112-117 cm	140-142 cm
50H	46-48 in	57-58 in	117-122 cm	145-147 cm
52H	48-50 in	59-60 in	122-127 cm	150-152 cm
54H	50-52 in	61-62 in	127-132 cm	155-157 cm
56H	52-54 in	63-64 in	132-137 cm	160-163 cm
58H	54-56 in	65-66 in	137-142 cm	165-168 cm
60H	56-58 in	67-68 in	142-147 cm	170-173 cm
62H	58-60 in	69-70 in	147-152 cm	175-178 cm
64H	60-62 in	71-72 in	152-157 cm	180-183 cm
26I	22-24 in	34-35 in	56-61 cm	86-89 cm
28I	24-26 in	36-37 in	61-66 cm	91-94 cm
30I	26-28 in	38-39 in	66-71 cm	97-99 cm
32I	28-30 in	40-41 in	71-76 cm	102-104 cm
34I	30-32 in	42-43 in	76-81 cm	107-109 cm
36I	32-34 in	44-45 in	81-86 cm	112-114 cm
38I	34-36 in	46-47 in	86-91 cm	117-119 cm
40I	36-38 in	48-49 in	91-97 cm	122-124 cm
42I	38-40 in	50-51 in	97-102 cm	127-130 cm
44I	40-42 in	52-53 in	102-107 cm	132-135 cm
46I	42-44 in	54-55 in	107-112 cm	137-140 cm
48I	44-46 in	56-57 in	112-117 cm	142-145 cm
50I	46-48 in	58-59 in	117-122 cm	147-150 cm
52I	48-50 in	60-61 in	122-127 cm	152-155 cm
54I	50-52 in	62-63 in	127-132 cm	157-160 cm
56I	52-54 in	64-65 in	132-137 cm	163-165 cm
58I	54-56 in	66-67 in	137-142 cm	168-170 cm
60I	56-58 in	68-69 in	142-147 cm	173-175 cm
62I	58-60 in	70-71 in	147-152 cm	178-180 cm
64I	60-62 in	72-73 in	152-157 cm	183-185 cm
26J	22-24 in	35-36 in	56-61 cm	89-91 cm
28J	24-26 in	37-38 in	61-66 cm	94-97 cm
30J	26-28 in	39-40 in	66-71 cm	99-102 cm
32J	28-30 in	41-42 in	71-76 cm	104-107 cm
34J	30-32 in	43-44 in	76-81 cm	109-112 cm
36J	32-34 in	45-46 in	81-86 cm	114-117 cm
38J	34-36 in	47-48 in	86-91 cm	119-122 cm
40J	36-38 in	49-50 in	91-97 cm	124-127 cm
42J	38-40 in	51-52 in	97-102 cm	130-132 cm
44J	40-42 in	53-54 in	102-107 cm	135-137 cm
46J	42-44 in	55-56 in	107-112 cm	140-142 cm
48J	44-46 in	57-58 in	112-117 cm	145-147 cm
50J	46-48 in	59-60 in	117-122 cm	150-152 cm
52J	48-50 in	61-62 in	122-127 cm	155-157 cm
54J	50-52 in	63-64 in	127-132 cm	160-163 cm
56J	52-54 in	65-66 in	132-137 cm	165-168 cm
58J	54-56 in	67-68 in	137-142 cm	170-173 cm
60J	56-58 in	69-70 in	142-147 cm	175-178 cm
62J	58-60 in	71-72 in	147-152 cm	180-183 cm
64J	60-62 in	73-74 in	152-157 cm	185-188 cm
26K	22-24 in	36-37 in	56-61 cm	91-94 cm
28K	24-26 in	38-39 in	61-66 cm	97-99 cm
30K	26-28 in	40-41 in	66-71 cm	102-104 cm
32K	28-30 in	42-43 in	71-76 cm	107-109 cm
34K	30-32 in	44-45 in	76-81 cm	112-114 cm
36K	32-34 in	46-47 in	81-86 cm	117-119 cm
38K	34-36 in	48-49 in	86-91 cm	122-124 cm
40K	36-38 in	50-51 in	91-97 cm	127-130 cm
42K	38-40 in	52-53 in	97-102 cm	132-135 cm
44K	40-42 in	54-55 in	102-107 cm	137-140 cm
46K	42-44 in	56-57 in	107-112 cm	142-145 cm
48K	44-46 in	58-59 in	112-117 cm	147-150 cm
50K	46-48 in	60-61 in	117-122 cm	152-155 cm
52K	48-50 in	62-63 in	122-127 cm	157-160 cm
54K	50-52 in	64-65 in	127-132 cm	163-165 cm
56K	52-54 in	66-67 in	132-137 cm	168-170 cm
58K	54-56 in	68-69 in	137-142 cm	173-175 cm
60K	56-58 in	70-71 in	142-147 cm	178-180 cm
62K	58-60 in	72-73 in	147-152 cm	183-185 cm
64K	60-62 in	74-75 in	152-157 cm	188-191 cm
26L	22-24 in	37-38 in	56-61 cm	94-97 cm
28L	24-26 in	39-40 in	61-66 cm	99-102 cm
30L	26-28 in	41-42 in	66-71 cm	104-107 cm
32L	28-30 in	43-44 in	71-76 cm	109-112 cm
34L	30-32 in	45-46 in	76-81 cm	114-117 cm
36L	32-34 in	47-48 in	81-86 cm	119-122 cm
38L	34-36 in	49-50 in	86-91 cm	124-127 cm
40L	36-38 in	51-52 in	91-97 cm	130-132 cm
42L	38-40 in	53-54 in	97-102 cm	135-137 cm
44L	40-42 in	55-56 in	102-107 cm	140-142 cm
46L	42-44 in	57-58 in	107-112 cm	145-147 cm
48L	44-46 in	59-60 in	112-117 cm	150-152 cm
50L	46-48 in	61-62 in	117-122 cm	155-157 cm
52L	48-50 in	63-64 in	122-127 cm	160-163 cm
54L	50-52 in	65-66 in	127-132 cm	165-168 cm
56L	52-54 in	67-68 in	132-137 cm	170-173 cm
58L	54-56 in	69-70 in	137-142 cm	175-178 cm
60L	56-58 in	71-72 in	142-147 cm	180-183 cm
62L	58-60 in	73-74 in	147-152 cm	185-188 cm
64L	60-62 in	75-76 in	152-157 cm	191-193 cm
26M	22-24 in	38-39 in	56-61 cm	97-99 cm
28M	24-26 in	40-41 in	61-66 cm	102-104 cm
30M	26-28 in	42-43 in	66-71 cm	107-109 cm
32M	28-30 in	44-45 in	71-76 cm	112-114 cm
34M	30-32 in	46-47 in	76-81 cm	117-119 cm
36M	32-34 in	48-49 in	81-86 cm	122-124 cm
38M	34-36 in	50-51 in	86-91 cm	127-130 cm
40M	36-38 in	52-53 in	91-97 cm	132-135 cm
42M	38-40 in	54-55 in	97-102 cm	137-140 cm
44M	40-42 in	56-57 in	102-107 cm	142-145 cm
46M	42-44 in	58-59 in	107-112 cm	147-150 cm
48M	44-46 in	60-61 in	112-117 cm	152-155 cm
50M	46-48 in	62-63 in	117-122 cm	157-160 cm
52M	48-50 in	64-65 in	122-127 cm	163-165 cm
54M	50-52 in	66-67 in	127-132 cm	168-170 cm
56M	52-54 in	68-69 in	132-137 cm	173-175 cm
58M	54-56 in	70-71 in	137-142 cm	178-180 cm
60M	56-58 in	72-73 in	142-147 cm	183-185 cm
62M	58-60 in	74-75 in	147-152 cm	188-191 cm
64M	60-62 in	76-77 in	152-157 cm	193-196 cm
26N	22-24 in	39-40 in	56-61 cm	99-102 cm
28N	24-26 in	41-42 in	61-66 cm	104-107 cm
30N	26-28 in	43-44 in	66-71 cm	109-112 cm
32N	28-30 in	45-46 in	71-76 cm	114-117 cm
34N	30-32 in	47-48 in	76-81 cm	119-122 cm
36N	32-34 in	49-50 in	81-86 cm	124-127 cm
38N	34-36 in	51-52 in	86-91 cm	130-132 cm
40N	36-38 in	53-54 in	91-97 cm	135-137 cm
42N	38-40 in	55-56 in	97-102 cm	140-142 cm
44N	40-42 in	57-58 in	102-107 cm	145-147 cm
46N	42-44 in	59-60 in	107-112 cm	150-152 cm
48N	44-46 in	61-62 in	112-117 cm	155-157 cm
50N	46-48 in	63-64 in	117-122 cm	160-163 cm
52N	48-50 in	65-66 in	122-127 cm	165-168 cm
54N	50-52 in	67-68 in	127-132 cm	170-173 cm
56N	52-54 in	69-70 in	132-137 cm	175-178 cm
58N	54-56 in	71-72 in	137-142 cm	180-183 cm
60N	56-58 in	73-74 in	142-147 cm	185-188 cm
62N	58-60 in	75-76 in	147-152 cm	191-193 cm
64N	60-62 in	77-78 in	152-157 cm	196-198 cm
26O	22-24 in	40-41 in	56-61 cm	102-104 cm
28O	24-26 in	42-43 in	61-66 cm	107-109 cm
30O	26-28 in	44-45 in	66-71 cm	112-114 cm
32O	28-30 in	46-47 in	71-76 cm	117-119 cm
34O	30-32 in	48-49 in	76-81 cm	122-124 cm
36O	32-34 in	50-51 in	81-86 cm	127-130 cm
38O	34-36 in	52-53 in	86-91 cm	132-135 cm
40O	36-38 in	54-55 in	91-97 cm	137-140 cm
42O	38-40 in	56-57 in	97-102 cm	142-145 cm
44O	40-42 in	58-59 in	102-107 cm	147-150 cm
46O	42-44 in	60-61 in	107-112 cm	152-155 cm
48O	44-46 in	62-63 in	112-117 cm	157-160 cm
50O	46-48 in	64-65 in	117-122 cm	163-165 cm
52O	48-50 in	66-67 in	122-127 cm	168-170 cm
54O	50-52 in	68-69 in	127-132 cm	173-175 cm
56O	52-54 in	70-71 in	132-137 cm	178-180 cm
58O	54-56 in	72-73 in	137-142 cm	183-185 cm
60O	56-58 in	74-75 in	142-147 cm	188-191 cm
62O	58-60 in	76-77 in	147-152 cm	193-196 cm
64O	60-62 in	78-79 in	152-157 cm	198-201 cm
26P	22-24 in	41-42 in	56-61 cm	104-107 cm
28P	24-26 in	43-44 in	61-66 cm	109-112 cm
30P	26-28 in	45-46 in	66-71 cm	114-117 cm
32P	28-30 in	47-48 in	71-76 cm	119-122 cm
34P	30-32 in	49-50 in	76-81 cm	124-127 cm
36P	32-34 in	51-52 in	81-86 cm	130-132 cm
38P	34-36 in	53-54 in	86-91 cm	135-137 cm
40P	36-38 in	55-56 in	91-97 cm	140-142 cm
42P	38-40 in	57-58 in	97-102 cm	145-147 cm
44P	40-42 in	59-60 in	102-107 cm	150-152 cm
46P	42-44 in	61-62 in	107-112 cm	155-157 cm
48P	44-46 in	63-64 in	112-117 cm	160-163 cm
50P	46-48 in	65-66 in	117-122 cm	165-168 cm
52P	48-50 in	67-68 in	122-127 cm	170-173 cm
54P	50-52 in	69-70 in	127-132 cm	175-178 cm
56P	52-54 in	71-72 in	132-137 cm	180-183 cm
58P	54-56 in	73-74 in	137-142 cm	185-188 cm
60P	56-58 in	75-76 in	142-147 cm	191-193 cm
62P	58-60 in	77-78 in	147-152 cm	196-198 cm
64P	60-62 in	79-80 in	152-157 cm	201-203 cm
26R	22-24 in	42-43 in	56-61 cm	107-109 cm
28R	24-26 in	44-45 in	61-66 cm	112-114 cm
30R	26-28 in	46-47 in	66-71 cm	117-119 cm
32R	28-30 in	48-49 in	71-76 cm	122-124 cm
34R	30-32 in	50-51 in	76-81 cm	127-130 cm
36R	32-34 in	52-53 in	81-86 cm	132-135 cm
38R	34-36 in	54-55 in	86-91 cm	137-140 cm
40R	36-38 in	56-57 in	91-97 cm	142-145 cm
42R	38-40 in	58-59 in	97-102 cm	147-150 cm
44R	40-42 in	60-61 in	102-107 cm	152-155 cm
46R	42-44 in	62-63 in	107-112 cm	157-160 cm
48R	44-46 in	64-65 in	112-117 cm	163-165 cm
50R	46-48 in	66-67 in	117-122 cm	168-170 cm
52R	48-50 in	68-69 in	122-127 cm	173-175 cm
54R	50-52 in	70-71 in	127-132 cm	178-180 cm
56R	52-54 in	72-73 in	132-137 cm	183-185 cm
58R	54-56 in	74-75 in	137-142 cm	188-191 cm
60R	56-58 in	76-77 in	142-147 cm	193-196 cm
62R	58-60 in	78-79 in	147-152 cm	198-201 cm
64R	60-62 in	80-81 in	152-157 cm	203-206 cm
26S	22-24 in	43-44 in	56-61 cm	109-112 cm
28S	24-26 in	45-46 in	61-66 cm	114-117 cm
30S	26-28 in	47-48 in	66-71 cm	119-122 cm
32S	28-30 in	49-50 in	71-76 cm	124-127 cm
34S	30-32 in	51-52 in	76-81 cm	130-132 cm
36S	32-34 in	53-54 in	81-86 cm	135-137 cm
38S	34-36 in	55-56 in	86-91 cm	140-142 cm
40S	36-38 in	57-58 in	91-97 cm	145-147 cm
42S	38-40 in	59-60 in	97-102 cm	150-152 cm
44S	40-42 in	61-62 in	102-107 cm	155-157 cm
46S	42-44 in	63-64 in	107-112 cm	160-163 cm
48S	44-46 in	65-66 in	112-117 cm	165-168 cm
50S	46-48 in	67-68 in	117-122 cm	170-173 cm
52S	48-50 in	69-70 in	122-127 cm	175-178 cm
54S	50-52 in	71-72 in	127-132 cm	180-183 cm
56S	52-54 in	73-74 in	132-137 cm	185-188 cm
58S	54-56 in	75-76 in	137-142 cm	191-193 cm
60S	56-58 in	77-78 in	142-147 cm	196-198 cm
62S	58-60 in	79-80 in	147-152 cm	201-203 cm
64S	60-62 in	81-82 in	152-157 cm	206-208 cm
26T	22-24 in	44-45 in	56-61 cm	112-114 cm
28T	24-26 in	46-47 in	61-66 cm	117-119 cm
30T	26-28 in	48-49 in	66-71 cm	122-124 cm
32T	28-30 in	50-51 in	71-76 cm	127-130 cm
34T	30-32 in	52-53 in	76-81 cm	132-135 cm
36T	32-34 in	54-55 in	81-86 cm	137-140 cm
38T	34-36 in	56-57 in	86-91 cm	142-145 cm
40T	36-38 in	58-59 in	91-97 cm	147-150 cm
42T	38-40 in	60-61 in	97-102 cm	152-155 cm
44T	40-42 in	62-63 in	102-107 cm	157-160 cm
46T	42-44 in	64-65 in	107-112 cm	163-165 cm
48T	44-46 in	66-67 in	112-117 cm	168-170 cm
50T	46-48 in	68-69 in	117-122 cm	173-175 cm
52T	48-50 in	70-71 in	122-127 cm	178-180 cm
54T	50-52 in	72-73 in	127-132 cm	183-185 cm
56T	52-54 in	74-75 in	132-137 cm	188-191 cm
58T	54-56 in	76-77 in	137-142 cm	193-196 cm
60T	56-58 in	78-79 in	142-147 cm	198-201 cm
62T	58-60 in	80-81 in	147-152 cm	203-206 cm
64T	60-62 in	82-83 in	152-157 cm	208-211 cm
